experiment_name,best_val_accuracy,best_train_accuracy,final_val_loss,epochs_trained,training_time,rotation,zoom,translation,brightness,contrast,noise
trans10pct_bright30pct,0.694915235042572,1.0,5.014561176300049,13,154.82854580879211,0.0,0.0,0.1,0.3,0.0,0.0
bright30pct_cont40pct_noise8pct,0.694915235042572,1.0,1.3596853017807007,30,356.12326431274414,0.0,0.0,0.0,0.3,0.4,0.08
trans15pct_bright40pct,0.694915235042572,1.0,2.605802059173584,20,237.97212386131287,0.0,0.0,0.15,0.4,0.0,0.0
trans15pct_bright20pct_cont20pct_noise8pct,0.694915235042572,1.0,1.4720362424850464,22,279.2010519504547,0.0,0.0,0.15,0.2,0.2,0.08
cont20pct_noise5pct,0.694915235042572,1.0,2.197728395462036,24,278.81645154953003,0.0,0.0,0.0,0.0,0.2,0.05
trans15pct_cont30pct,0.694915235042572,1.0,3.2032411098480225,14,167.48035669326782,0.0,0.0,0.15,0.0,0.3,0.0
trans15pct_bright20pct_cont20pct_noise5pct,0.694915235042572,1.0,2.903372049331665,16,205.83831334114075,0.0,0.0,0.15,0.2,0.2,0.05
trans15pct_bright40pct_cont40pct_noise5pct,0.694915235042572,1.0,1.360900640487671,21,267.62380146980286,0.0,0.0,0.15,0.4,0.4,0.05
bright20pct,0.694915235042572,1.0,1.94170081615448,24,267.44462418556213,0.0,0.0,0.0,0.2,0.0,0.0
trans15pct_bright20pct_noise5pct,0.6779661178588867,1.0,2.475057601928711,22,268.25450587272644,0.0,0.0,0.15,0.2,0.0,0.05
trans10pct_cont20pct_noise5pct,0.6779661178588867,1.0,1.6935782432556152,22,270.94566011428833,0.0,0.0,0.1,0.0,0.2,0.05
NoAugmentation,0.6779661178588867,1.0,1.0593624114990234,16,174.79438614845276,0.0,0.0,0.0,0.0,0.0,0.0
trans15pct_bright20pct_cont40pct,0.6779661178588867,1.0,2.001868486404419,19,235.00568318367004,0.0,0.0,0.15,0.2,0.4,0.0
trans15pct_bright40pct_cont40pct_noise8pct,0.6610169410705566,1.0,1.696716070175171,13,166.58954071998596,0.0,0.0,0.15,0.4,0.4,0.08
trans10pct_bright20pct,0.6610169410705566,1.0,1.1601296663284302,15,178.19419169425964,0.0,0.0,0.1,0.2,0.0,0.0
zoom15pct_noise5pct,0.6610169410705566,1.0,1.9114694595336914,23,266.76523518562317,0.0,0.15,0.0,0.0,0.0,0.05
noise8pct,0.6610169410705566,1.0,2.1933703422546387,24,266.1373293399811,0.0,0.0,0.0,0.0,0.0,0.08
trans10pct_cont40pct_noise8pct,0.6610169410705566,1.0,4.225461959838867,17,210.26657128334045,0.0,0.0,0.1,0.0,0.4,0.08
trans10pct_bright20pct_cont20pct,0.6610169410705566,1.0,2.211947202682495,18,221.93645191192627,0.0,0.0,0.1,0.2,0.2,0.0
bright20pct_cont40pct_noise5pct,0.6610169410705566,1.0,1.6765562295913696,18,217.013108253479,0.0,0.0,0.0,0.2,0.4,0.05
bright40pct_cont20pct_noise5pct,0.6610169410705566,1.0,3.736633062362671,18,216.1433219909668,0.0,0.0,0.0,0.4,0.2,0.05
bright30pct_noise5pct,0.6610169410705566,1.0,2.526656150817871,22,252.67525005340576,0.0,0.0,0.0,0.3,0.0,0.05
trans10pct_bright30pct_cont40pct_noise5pct,0.6610169410705566,1.0,3.4957098960876465,11,149.96216917037964,0.0,0.0,0.1,0.3,0.4,0.05
trans15pct_cont30pct_noise8pct,0.6610169410705566,1.0,2.4994072914123535,11,136.75556635856628,0.0,0.0,0.15,0.0,0.3,0.08
trans10pct_bright40pct,0.6610169410705566,1.0,3.0916261672973633,18,212.5358099937439,0.0,0.0,0.1,0.4,0.0,0.0
trans10pct_bright40pct_cont20pct_noise5pct,0.6610169410705566,1.0,3.184516429901123,15,191.63932847976685,0.0,0.0,0.1,0.4,0.2,0.05
trans10pct_bright40pct_cont40pct_noise5pct,0.6610169410705566,0.9996180534362793,3.393676280975342,19,244.30941343307495,0.0,0.0,0.1,0.4,0.4,0.05
trans15pct_cont20pct,0.6610169410705566,1.0,2.55464768409729,17,203.21659088134766,0.0,0.0,0.15,0.0,0.2,0.0
trans10pct_bright20pct_cont40pct_noise8pct,0.6610169410705566,1.0,3.5463287830352783,21,267.85019874572754,0.0,0.0,0.1,0.2,0.4,0.08
trans15pct_bright30pct_cont30pct,0.6440678238868713,1.0,1.9176651239395142,16,198.99358582496643,0.0,0.0,0.15,0.3,0.3,0.0
trans10pct_bright30pct_cont30pct,0.6440678238868713,1.0,1.6440225839614868,17,214.2425286769867,0.0,0.0,0.1,0.3,0.3,0.0
trans15pct_bright40pct_cont30pct_noise8pct,0.6440678238868713,1.0,1.2672165632247925,25,318.0695388317108,0.0,0.0,0.15,0.4,0.3,0.08
trans15pct,0.6440678238868713,1.0,2.259683847427368,16,186.44897651672363,0.0,0.0,0.15,0.0,0.0,0.0
trans10pct_bright30pct_cont20pct,0.6440678238868713,1.0,2.6351513862609863,14,173.9206886291504,0.0,0.0,0.1,0.3,0.2,0.0
cont40pct_noise5pct,0.6440678238868713,1.0,3.5560123920440674,18,210.72109746932983,0.0,0.0,0.0,0.0,0.4,0.05
trans10pct_noise5pct,0.6440678238868713,1.0,4.540356159210205,24,282.643515586853,0.0,0.0,0.1,0.0,0.0,0.05
bright40pct_cont30pct_noise5pct,0.6440678238868713,1.0,3.317075490951538,19,227.36203408241272,0.0,0.0,0.0,0.4,0.3,0.05
bright20pct_cont20pct,0.6440678238868713,1.0,1.7427326440811157,18,210.6985411643982,0.0,0.0,0.0,0.2,0.2,0.0
trans10pct_cont30pct_noise5pct,0.6440678238868713,1.0,7.221645355224609,12,150.4129033088684,0.0,0.0,0.1,0.0,0.3,0.05
bright20pct_noise8pct,0.6440678238868713,1.0,4.8423752784729,18,208.03752517700195,0.0,0.0,0.0,0.2,0.0,0.08
trans15pct_bright30pct_noise8pct,0.6271186470985413,1.0,2.278878927230835,11,136.8028426170349,0.0,0.0,0.15,0.3,0.0,0.08
bright40pct_noise5pct,0.6271186470985413,1.0,3.113490581512451,12,139.34221649169922,0.0,0.0,0.0,0.4,0.0,0.05
cont30pct_noise5pct,0.6271186470985413,1.0,3.9419493675231934,17,198.9994945526123,0.0,0.0,0.0,0.0,0.3,0.05
trans15pct_bright40pct_noise8pct,0.6271186470985413,1.0,5.155023097991943,18,221.1686315536499,0.0,0.0,0.15,0.4,0.0,0.08
zoom15pct_cont20pct_noise5pct,0.6271186470985413,1.0,3.1712799072265625,20,242.84490299224854,0.0,0.15,0.0,0.0,0.2,0.05
trans10pct_bright20pct_cont20pct_noise8pct,0.6271186470985413,1.0,2.2423605918884277,11,143.2250852584839,0.0,0.0,0.1,0.2,0.2,0.08
trans10pct_bright20pct_cont20pct_noise5pct,0.6271186470985413,1.0,5.431736469268799,11,143.77338790893555,0.0,0.0,0.1,0.2,0.2,0.05
trans15pct_bright30pct_cont20pct_noise5pct,0.6101694703102112,1.0,3.812795877456665,23,291.6669692993164,0.0,0.0,0.15,0.3,0.2,0.05
bright30pct_cont30pct_noise8pct,0.6101694703102112,1.0,4.528735160827637,18,216.2623541355133,0.0,0.0,0.0,0.3,0.3,0.08
trans15pct_bright20pct_cont20pct,0.6101694703102112,1.0,3.818800210952759,14,174.42933464050293,0.0,0.0,0.15,0.2,0.2,0.0
bright30pct_cont20pct_noise5pct,0.6101694703102112,1.0,1.8500407934188843,16,193.34553217887878,0.0,0.0,0.0,0.3,0.2,0.05
bright30pct_cont40pct_noise5pct,0.6101694703102112,1.0,4.92608642578125,10,122.29205536842346,0.0,0.0,0.0,0.3,0.4,0.05
trans15pct_bright20pct_cont30pct_noise8pct,0.6101694703102112,0.9992360472679138,4.528879165649414,11,142.33763527870178,0.0,0.0,0.15,0.2,0.3,0.08
trans15pct_bright40pct_cont40pct,0.6101694703102112,1.0,3.220592975616455,20,249.30885553359985,0.0,0.0,0.15,0.4,0.4,0.0
bright20pct_cont20pct_noise8pct,0.6101694703102112,1.0,3.642876386642456,19,229.39150166511536,0.0,0.0,0.0,0.2,0.2,0.08
trans15pct_bright20pct_cont40pct_noise8pct,0.6101694703102112,0.9996180534362793,3.3890316486358643,13,167.3613486289978,0.0,0.0,0.15,0.2,0.4,0.08
trans10pct_bright40pct_cont20pct_noise8pct,0.6101694703102112,0.9992360472679138,6.255594253540039,12,154.84973073005676,0.0,0.0,0.1,0.4,0.2,0.08
trans15pct_bright40pct_cont20pct_noise8pct,0.6101694703102112,1.0,4.089086055755615,14,180.49796175956726,0.0,0.0,0.15,0.4,0.2,0.08
trans10pct_bright40pct_noise8pct,0.5932203531265259,1.0,5.381408214569092,15,183.93545651435852,0.0,0.0,0.1,0.4,0.0,0.08
